transactionid,saledate,receiptnumber,servicecharge,servicechargevat,transactionexcludevat,servicechargepercent,vatpercent,otheramountdiscount,totalproductamount,totalpayamount
78076,2019-02-13,033022019/130006,26250.0000,2625.0000,28000.0000,7.5000,10.0000,0.0000,9.0000,336875.0000
78076,2019-02-13,033022019/130006,26250.0000,2625.0000,35000.0000,7.5000,10.0000,0.0000,9.0000,413875.0000
14547,2019-02-13,033022019/130001,3600.0000,360.0000,4800.0000,7.5000,10.0000,0.0000,1.0000,56760.0000
14548,2019-02-13,033022019/130002,5250.0000,525.0000,7000.0000,7.5000,10.0000,0.0000,2.0000,82775.0000
14548,2019-02-13,033022019/130002,5250.0000,525.0000,7000.0000,7.5000,10.0000,0.0000,2.0000,82775.0000
78078,2019-02-13,033022019/130003,11325.0000,1133.0000,15100.0000,7.5000,10.0000,0.0000,6.0000,178558.0000
78077,2019-02-13,033022019/130004,13875.0000,1388.0000,18500.0000,7.5000,10.0000,0.0000,4.0000,218763.0000
78078,2019-02-13,033022019/130003,11325.0000,1133.0000,15100.0000,7.5000,10.0000,0.0000,6.0000,178558.0000
78077,2019-02-13,033022019/130004,13875.0000,1388.0000,18500.0000,7.5000,10.0000,0.0000,4.0000,218763.0000
46124,2019-02-13,033022019/130005,22125.0000,2213.0000,29500.0000,7.5000,10.0000,0.0000,5.0000,348838.0000
46124,2019-02-13,033022019/130005,22125.0000,2213.0000,29500.0000,7.5000,10.0000,0.0000,5.0000,348838.0000
78076,2019-02-13,033022019/130006,17925.0000,1793.0000,23900.0000,7.5000,10.0000,0.0000,6.0000,282618.0000
78088,2019-02-13,033022019/130011,13800.0000,1380.0000,18400.0000,7.5000,10.0000,0.0000,2.0000,217580.0000
78088,2019-02-13,033022019/130011,13800.0000,1380.0000,18400.0000,7.5000,10.0000,0.0000,2.0000,217580.0000
78089,2019-02-13,033022019/130019,17700.0000,1770.0000,23600.0000,7.5000,10.0000,0.0000,4.0000,279070.0000
78084,2019-02-13,033022019/130020,24825.0000,2483.0000,33100.0000,7.5000,10.0000,0.0000,9.0000,391408.0000
78084,2019-02-13,033022019/130020,24825.0000,2483.0000,33100.0000,7.5000,10.0000,0.0000,9.0000,391408.0000
78090,2019-02-13,033022019/130021,29100.0000,2910.0000,38800.0000,7.5000,10.0000,0.0000,9.0000,458810.0000
78091,2019-02-13,033022019/130022,42750.0000,4275.0000,57000.0000,7.5000,10.0000,0.0000,13.0000,674025.0000
78090,2019-02-13,033022019/130021,29100.0000,2910.0000,38800.0000,7.5000,10.0000,0.0000,9.0000,458810.0000
78091,2019-02-13,033022019/130022,42750.0000,4275.0000,57000.0000,7.5000,10.0000,0.0000,13.0000,674025.0000
46127,2019-02-13,033022019/130023,24900.0000,2490.0000,33200.0000,7.5000,10.0000,0.0000,10.0000,392590.0000
46127,2019-02-13,033022019/130023,24900.0000,2490.0000,33200.0000,7.5000,10.0000,0.0000,10.0000,392590.0000
78095,2019-02-13,033022019/130024,7875.0000,788.0000,10500.0000,7.5000,10.0000,0.0000,3.0000,124163.0000
78089,2019-02-13,033022019/130019,17700.0000,1770.0000,23600.0000,7.5000,10.0000,0.0000,4.0000,279070.0000
78085,2019-02-13,033022019/130018,27600.0000,2760.0000,36800.0000,7.5000,10.0000,0.0000,7.0000,435160.0000
78085,2019-02-13,033022019/130018,27600.0000,2760.0000,36800.0000,7.5000,10.0000,0.0000,7.0000,435160.0000
78080,2019-02-13,033022019/130012,21075.0000,2108.0000,28100.0000,7.5000,10.0000,0.0000,5.0000,332283.0000
46125,2019-02-13,033022019/130013,53475.0000,5348.0000,71300.0000,7.5000,10.0000,0.0000,12.0000,843123.0000
14549,2019-02-13,033022019/130014,7875.0000,788.0000,10500.0000,7.5000,10.0000,0.0000,3.0000,124163.0000
14549,2019-02-13,033022019/130014,7875.0000,788.0000,10500.0000,7.5000,10.0000,0.0000,3.0000,124163.0000
78083,2019-02-13,033022019/130016,26925.0000,2693.0000,35900.0000,7.5000,10.0000,0.0000,6.0000,424518.0000
46126,2019-02-13,033022019/130015,14550.0000,1455.0000,19400.0000,7.5000,10.0000,0.0000,4.0000,229405.0000
46126,2019-02-13,033022019/130015,14550.0000,1455.0000,19400.0000,7.5000,10.0000,0.0000,4.0000,229405.0000
78083,2019-02-13,033022019/130016,26925.0000,2693.0000,35900.0000,7.5000,10.0000,0.0000,6.0000,424518.0000
14550,2019-02-13,033022019/130017,4200.0000,420.0000,5600.0000,7.5000,10.0000,0.0000,1.0000,66220.0000
14550,2019-02-13,033022019/130017,4200.0000,420.0000,5600.0000,7.5000,10.0000,0.0000,1.0000,66220.0000
78095,2019-02-13,033022019/130024,7875.0000,788.0000,10500.0000,7.5000,10.0000,0.0000,3.0000,124163.0000
78114,2019-02-13,033022019/130074,24675.0000,2468.0000,32900.0000,7.5000,10.0000,0.0000,6.0000,389043.0000
78115,2019-02-13,033022019/130080,20625.0000,2063.0000,27500.0000,7.5000,10.0000,0.0000,7.0000,325188.0000
46149,2019-02-13,033022019/130081,12825.0000,1283.0000,17100.0000,7.5000,10.0000,0.0000,4.0000,202208.0000
46146,2019-02-13,033022019/130082,59625.0000,5963.0000,79500.0000,7.5000,10.0000,0.0000,12.0000,940088.0000
46146,2019-02-13,033022019/130082,59625.0000,5963.0000,63600.0000,7.5000,10.0000,0.0000,12.0000,765188.0000
78112,2019-02-13,033022019/130083,78150.0000,7815.0000,104200.0000,7.5000,10.0000,0.0000,20.0000,1232165.0000
78112,2019-02-13,033022019/130083,78150.0000,7815.0000,104200.0000,7.5000,10.0000,0.0000,20.0000,1232165.0000
46156,2019-02-13,033022019/130084,48000.0000,4800.0000,64000.0000,7.5000,10.0000,0.0000,14.0000,756800.0000
