SaleNumber,ReceiptNumber,TransactionDate,AmountTransaksi,AmountService,Tax,OtherIncome,SaleDate,OutletCode,OutletName,ShopID
03392019/110025,03392019/110025,09/11/2019 13:53:44,164000,12300.0000,17630.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110026,03392019/110026,09/11/2019 13:56:00,173000,12975.0000,18598.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110027,03392019/110027,09/11/2019 13:59:39,3000,225.0000,323.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110028,03392019/110028,09/11/2019 14:00:47,177000,13275.0000,19028.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110029,03392019/110029,09/11/2019 14:03:47,89000,6675.0000,9568.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110030,03392019/110030,09/11/2019 14:13:51,1688000,126600.0000,181460.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110031,03392019/110031,09/11/2019 14:48:59,158000,11850.0000,16985.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110032,03392019/110032,09/11/2019 15:16:20,116000,8700.0000,12470.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110033,03392019/110033,09/11/2019 15:19:26,153000,11475.0000,16448.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110034,03392019/110034,09/11/2019 15:50:24,114000,8550.0000,12255.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110035,03392019/110035,09/11/2019 16:02:17,610000,45750.0000,65575.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110036,03392019/110036,09/11/2019 16:08:20,47000,3525.0000,5053.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110037,03392019/110037,09/11/2019 16:16:18,315000,23625.0000,33863.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110038,03392019/110038,09/11/2019 16:21:10,279000,20925.0000,29993.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110039,03392019/110039,09/11/2019 16:33:48,718000,53850.0000,77185.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110040,03392019/110040,09/11/2019 16:45:35,111000,8325.0000,11933.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110041,03392019/110041,09/11/2019 17:28:23,234000,17550.0000,25155.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110042,03392019/110042,09/11/2019 18:07:08,69000,5175.0000,7418.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110043,03392019/110043,09/11/2019 18:18:40,444000,33300.0000,47730.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110044,03392019/110044,09/11/2019 18:43:23,306000,22950.0000,32895.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110045,03392019/110045,09/11/2019 18:47:40,207000,15525.0000,22253.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110046,03392019/110046,09/11/2019 18:52:13,69000,5175.0000,7418.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110047,03392019/110047,09/11/2019 18:54:54,93000,6975.0000,9998.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110048,03392019/110048,09/11/2019 19:01:33,636000,47700.0000,68370.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110049,03392019/110049,09/11/2019 19:09:08,318000,23850.0000,34185.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110050,03392019/110050,09/11/2019 19:18:54,141000,10575.0000,15158.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110051,03392019/110051,09/11/2019 19:27:26,266000,19950.0000,28595.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110052,03392019/110052,09/11/2019 19:29:19,151000,11325.0000,16233.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110053,03392019/110053,09/11/2019 19:36:09,235000,17625.0000,25263.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110054,03392019/110054,09/11/2019 19:44:40,970000,72750.0000,104275.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110055,03392019/110055,09/11/2019 19:52:03,56000,4200.0000,6020.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110056,03392019/110056,09/11/2019 19:56:45,418000,31350.0000,44935.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110057,03392019/110057,09/11/2019 19:59:34,3000,225.0000,323.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110058,03392019/110058,09/11/2019 20:00:24,224000,16800.0000,24080.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110059,03392019/110059,09/11/2019 20:06:13,105000,7875.0000,11288.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110060,03392019/110060,09/11/2019 20:09:17,183000,13725.0000,19673.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110061,03392019/110061,09/11/2019 20:10:12,186000,13950.0000,19995.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110062,03392019/110062,09/11/2019 20:17:23,351000,26325.0000,37733.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110063,03392019/110063,09/11/2019 20:22:08,47000,3525.0000,5053.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110064,03392019/110064,09/11/2019 20:24:46,272000,20400.0000,29240.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110065,03392019/110065,09/11/2019 20:27:34,259000,19425.0000,27843.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110066,03392019/110066,09/11/2019 20:30:41,80000,6000.0000,8600.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110067,03392019/110067,09/11/2019 20:31:30,190000,14250.0000,20425.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110068,03392019/110068,09/11/2019 20:32:13,160000,12000.0000,17200.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110069,03392019/110069,09/11/2019 20:34:36,441000,33075.0000,47408.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110070,03392019/110070,09/11/2019 20:39:10,198000,14850.0000,21285.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110071,03392019/110071,09/11/2019 20:42:05,263000,19725.0000,28273.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110072,03392019/110072,09/11/2019 20:44:09,311000,23325.0000,33433.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110073,03392019/110073,09/11/2019 20:47:13,211000,15825.0000,22683.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110074,03392019/110074,09/11/2019 20:49:59,1463000,109725.0000,157273.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110075,03392019/110075,09/11/2019 20:53:37,1086000,81450.0000,116745.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110076,03392019/110076,09/11/2019 20:59:52,264000,19800.0000,28380.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110077,03392019/110077,09/11/2019 21:09:07,608000,45600.0000,65360.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110078,03392019/110078,09/11/2019 21:16:09,293000,21975.0000,31498.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110079,03392019/110079,09/11/2019 21:26:02,15000,1125.0000,1613.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110080,03392019/110080,09/11/2019 21:36:30,588000,44100.0000,63210.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110081,03392019/110081,09/11/2019 21:41:13,114000,8550.0000,12255.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110082,03392019/110082,09/11/2019 21:43:38,165000,12375.0000,17738.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110083,03392019/110083,09/11/2019 21:44:15,172000,12900.0000,18490.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
03392019/110084,03392019/110084,09/11/2019 22:00:41,491000,36825.0000,52783.000000,0.0000,2019-09-11,033,[PLB]ST PALEMBANG,8
