SaleNumber,ReceiptNumber,TransactionDate,AmountTransaksi,AmountService,Tax,OtherIncome,SaleDate,OutletCode,OutletName,ShopID
03392019/140074,03392019/140074,09/14/2019 18:05:16,337000,25275.0000,36228.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140075,03392019/140075,09/14/2019 18:05:58,180000,13500.0000,19350.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140076,03392019/140076,09/14/2019 18:06:40,708000,53100.0000,76110.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140077,03392019/140077,09/14/2019 18:14:43,97000,7275.0000,10428.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140078,03392019/140078,09/14/2019 18:24:45,173000,12975.0000,18598.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140079,03392019/140079,09/14/2019 18:29:02,536000,40200.0000,57620.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140080,03392019/140080,09/14/2019 18:30:47,326000,24450.0000,35045.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140081,03392019/140081,09/14/2019 18:35:35,498000,37350.0000,53535.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140082,03392019/140082,09/14/2019 18:39:27,1318000,98850.0000,141685.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140083,03392019/140083,09/14/2019 18:57:31,186000,13950.0000,19995.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140084,03392019/140084,09/14/2019 19:07:00,334000,25050.0000,35905.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140085,03392019/140085,09/14/2019 19:14:09,105000,7875.0000,11288.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140086,03392019/140086,09/14/2019 19:18:41,1020000,76500.0000,109650.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140087,03392019/140087,09/14/2019 19:20:34,169000,12675.0000,18168.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140088,03392019/140088,09/14/2019 19:21:34,532000,39900.0000,57190.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140089,03392019/140089,09/14/2019 19:23:14,318000,23850.0000,34185.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
